Rank,Overall,Conference,Regional,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,Total
124,177,178,178,Draymond Green,PF/C,35.4,GS,68,29.2,3.2,0.425,0.690,1.2,0.326,9.0,6.1,5.6,1.5,1.0,2.6,0.1,0.39
125,114,113,115,Keegan Murray,SF/PF,25.0,SAC,76,34.3,4.8,0.444,0.832,2.0,0.343,12.4,6.7,1.4,0.8,0.9,0.8,0.1,0.36
126,181,182,181,Rui Hachimura,SF/PF,27.5,LAL,59,31.7,5.0,0.509,0.766,1.7,0.413,13.1,5.0,1.4,0.8,0.4,0.8,0.0,0.34
127,84,87,90,Nicolas Claxton,C,26.3,BKN,70,26.9,4.6,0.564,0.514,0.1,0.233,10.3,7.4,2.2,0.9,1.4,1.2,0.2,0.30
128,115,114,116,RJ Barrett,SG/SF/PF,25.2,TOR,58,32.2,7.9,0.468,0.631,1.8,0.348,21.1,6.3,5.4,0.8,0.3,2.9,0.2,0.26
129,83,86,89,Kel'el Ware,C,21.3,MIA,64,22.2,4.0,0.554,0.686,0.6,0.318,9.3,7.4,0.9,0.6,1.1,0.9,0.2,0.06
130,302,301,301,Russell Westbrook,PG,36.8,DEN,75,27.9,5.0,0.449,0.659,1.3,0.322,13.3,4.9,6.1,1.4,0.5,3.2,0.2,-0.05
131,368,368,368,Matisse Thybulle,SG/SF,28.4,POR,15,20.8,2.8,0.477,0.470,1.4,0.438,7.5,3.5,1.9,2.2,0.6,0.9,0.0,-0.11
132,376,376,376,Grant Williams,PF,26.7,CHA,16,29.9,3.4,0.443,0.840,1.7,0.371,10.4,5.1,2.3,1.1,0.8,1.8,0.0,-0.21
133,190,190,190,Luguentz Dort,SG/SF,26.3,OKC,71,29.2,3.6,0.435,0.708,2.4,0.411,10.1,4.1,1.6,1.1,0.5,0.7,0.0,-0.31
134,248,248,249,Klay Thompson,SG/SF,35.5,DAL,72,27.3,5.0,0.411,0.903,3.0,0.391,14.0,3.4,2.0,0.7,0.4,1.2,0.0,-0.32
135,207,208,208,Nick Richards,C,27.7,PHO,57,22.0,3.6,0.591,0.744,0.0,0.000,9.3,8.2,0.9,0.2,1.0,1.4,0.3,-0.38
136,362,362,362,Larry Nance Jr.,PF/C,32.6,ATL,24,19.3,3.3,0.515,0.704,1.4,0.448,8.5,4.3,1.6,0.8,0.5,0.7,0.1,-0.44
137,186,142,186,Jrue Holiday,PG/SG,35.2,BOS,62,30.6,4.1,0.444,0.911,1.7,0.352,11.1,4.3,3.9,1.1,0.4,1.2,0.0,-0.46
138,249,249,250,Robert Williams III,C,27.8,POR,20,17.6,2.5,0.641,0.882,0.1,0.333,5.8,5.9,1.1,0.7,1.7,0.9,0.0,-0.49
139,352,352,352,Harrison Barnes,PF,33.2,SA,82,27.2,4.2,0.508,0.807,1.9,0.433,12.3,3.8,1.7,0.5,0.2,0.6,0.0,-0.56
140,139,138,138,Bennedict Mathurin,SG/SF,23.2,IND,72,29.9,5.4,0.458,0.831,1.4,0.340,16.1,5.3,1.9,0.7,0.3,1.9,0.1,-0.58
141,198,199,201,Scotty Pippen Jr.,PG/SG,24.8,MEM,79,21.3,3.6,0.479,0.713,1.1,0.396,9.9,3.3,4.4,1.3,0.4,1.7,0.1,-0.58
142,435,435,435,Al Horford,PF/C,39.2,BOS,60,27.6,3.3,0.423,0.905,1.9,0.363,9.0,6.2,2.1,0.6,0.9,0.8,0.1,-0.60
143,206,207,207,Jerami Grant,PF,31.4,POR,47,32.4,4.6,0.373,0.850,2.3,0.365,14.4,3.5,2.1,0.9,1.0,1.4,0.0,-0.65
144,417,417,417,Royce O'Neale,SF,32.2,PHO,75,24.5,3.2,0.422,0.714,2.4,0.406,9.1,4.7,2.2,0.9,0.5,0.9,0.0,-0.74
145,108,109,109,Jared McCain,SG,21.5,PHI,23,25.7,5.5,0.460,0.877,2.2,0.384,15.3,2.4,2.6,0.7,0.0,1.6,0.0,-0.75
146,258,258,259,Grayson Allen,PG/SG,29.9,PHO,64,24.1,3.4,0.448,0.815,2.3,0.426,10.6,3.0,2.1,0.8,0.3,1.2,0.0,-0.80
